"runs","m.inf","m.slope","f.inf","f.slope","m_slope","m_sens","f_sens","FG","fxn","bid","lid"
108," 50000","  0.5"," 25000"," -1.250","Steep","High","Medium","All consumer groups","Mortality and foraging",NA,NA
109," 50000"," 50.0"," 37500"," -1.875","Flat","High","Low","All consumer groups","Mortality and foraging",NA,NA
110," 50000","  2.5"," 37500"," -1.875","Medium flat","High","Low","All consumer groups","Mortality and foraging",NA,NA
111," 50000","  1.0"," 37500"," -1.875","Medium steep","High","Low","All consumer groups","Mortality and foraging",NA,NA
112," 50000","  0.5"," 37500"," -1.875","Steep","High","Low","All consumer groups","Mortality and foraging",NA,NA
113,"400000","400.0","100000"," -5.000","Flat","Low","High","All consumer groups","Mortality and foraging",NA,NA
114,"400000"," 20.0","100000"," -5.000","Medium flat","Low","High","All consumer groups","Mortality and foraging",NA,NA
115,"400000","  8.0","100000"," -5.000","Medium steep","Low","High","All consumer groups","Mortality and foraging",NA,NA
116,"400000","  4.0","100000"," -5.000","Steep","Low","High","All consumer groups","Mortality and foraging",NA,NA
117,"400000","400.0","200000","-10.000","Flat","Low","Medium","All consumer groups","Mortality and foraging",NA,NA
118,"400000"," 20.0","200000","-10.000","Medium flat","Low","Medium","All consumer groups","Mortality and foraging",NA,NA
119,"400000","  8.0","200000","-10.000","Medium steep","Low","Medium","All consumer groups","Mortality and foraging",NA,NA
120,"400000","  4.0","200000","-10.000","Steep","Low","Medium","All consumer groups","Mortality and foraging",NA,NA
121,"400000","400.0","300000","-15.000","Flat","Low","Low","All consumer groups","Mortality and foraging",NA,NA
122,"400000"," 20.0","300000","-15.000","Medium flat","Low","Low","All consumer groups","Mortality and foraging",NA,NA
123,"400000","  8.0","300000","-15.000","Medium steep","Low","Low","All consumer groups","Mortality and foraging",NA,NA
124,"400000","  4.0","300000","-15.000","Steep","Low","Low","All consumer groups","Mortality and foraging",NA,NA
125,"200000","200.0"," 50000"," -2.500","Flat","Medium","High","All consumer groups","Mortality and foraging",NA,NA
126,"200000"," 10.0"," 50000"," -2.500","Medium flat","Medium","High","All consumer groups","Mortality and foraging",NA,NA
127,"200000","  4.0"," 50000"," -2.500","Medium steep","Medium","High","All consumer groups","Mortality and foraging",NA,NA
128,"200000","  2.0"," 50000"," -2.500","Steep","Medium","High","All consumer groups","Mortality and foraging",NA,NA
129,"200000","200.0","100000"," -5.000","Flat","Medium","Medium","All consumer groups","Mortality and foraging",NA,NA
130,"200000"," 10.0","100000"," -5.000","Medium flat","Medium","Medium","All consumer groups","Mortality and foraging",NA,NA
131,"200000","  4.0","100000"," -5.000","Medium steep","Medium","Medium","All consumer groups","Mortality and foraging",NA,NA
132,"200000","  2.0","100000"," -5.000","Steep","Medium","Medium","All consumer groups","Mortality and foraging",NA,NA
133,"200000","200.0","150000"," -7.500","Flat","Medium","Low","All consumer groups","Mortality and foraging",NA,NA
134,"200000"," 10.0","150000"," -7.500","Medium flat","Medium","Low","All consumer groups","Mortality and foraging",NA,NA
135,"200000","  4.0","150000"," -7.500","Medium steep","Medium","Low","All consumer groups","Mortality and foraging",NA,NA
136,"200000","  2.0","150000"," -7.500","Steep","Medium","Low","All consumer groups","Mortality and foraging",NA,NA
137,"100000","100.0"," 25000"," -1.250","Flat","Medium high","High","All consumer groups","Mortality and foraging",NA,NA
138,"100000","  5.0"," 25000"," -1.250","Medium flat","Medium high","High","All consumer groups","Mortality and foraging",NA,NA
139,"100000","  2.0"," 25000"," -1.250","Medium steep","Medium high","High","All consumer groups","Mortality and foraging",NA,NA
140,"100000","  1.0"," 25000"," -1.250","Steep","Medium high","High","All consumer groups","Mortality and foraging",NA,NA
141,"100000","100.0"," 50000"," -2.500","Flat","Medium high","Medium","All consumer groups","Mortality and foraging",NA,NA
142,"100000","  5.0"," 50000"," -2.500","Medium flat","Medium high","Medium","All consumer groups","Mortality and foraging",NA,NA
143,"100000","  2.0"," 50000"," -2.500","Medium steep","Medium high","Medium","All consumer groups","Mortality and foraging",NA,NA
144,"100000","  1.0"," 50000"," -2.500","Steep","Medium high","Medium","All consumer groups","Mortality and foraging",NA,NA
145,"100000","100.0"," 75000"," -3.750","Flat","Medium high","Low","All consumer groups","Mortality and foraging",NA,NA
146,"100000","  5.0"," 75000"," -3.750","Medium flat","Medium high","Low","All consumer groups","Mortality and foraging",NA,NA
147,"100000","  2.0"," 75000"," -3.750","Medium steep","Medium high","Low","All consumer groups","Mortality and foraging",NA,NA
148,"100000","  1.0"," 75000"," -3.750","Steep","Medium high","Low","All consumer groups","Mortality and foraging",NA,NA
149,"300000","300.0"," 75000"," -3.750","Flat","Medium low","High","All consumer groups","Mortality and foraging",NA,NA
150,"300000"," 15.0"," 75000"," -3.750","Medium flat","Medium low","High","All consumer groups","Mortality and foraging",NA,NA
151,"300000","  6.0"," 75000"," -3.750","Medium steep","Medium low","High","All consumer groups","Mortality and foraging",NA,NA
152,"300000","  3.0"," 75000"," -3.750","Steep","Medium low","High","All consumer groups","Mortality and foraging",NA,NA
153,"300000","300.0","150000"," -7.500","Flat","Medium low","Medium","All consumer groups","Mortality and foraging",NA,NA
154,"300000"," 15.0","150000"," -7.500","Medium flat","Medium low","Medium","All consumer groups","Mortality and foraging",NA,NA
155,"300000","  6.0","150000"," -7.500","Medium steep","Medium low","Medium","All consumer groups","Mortality and foraging",NA,NA
156,"300000","  3.0","150000"," -7.500","Steep","Medium low","Medium","All consumer groups","Mortality and foraging",NA,NA
157,"300000","300.0","225000","-11.250","Flat","Medium low","Low","All consumer groups","Mortality and foraging",NA,NA
158,"300000"," 15.0","225000","-11.250","Medium flat","Medium low","Low","All consumer groups","Mortality and foraging",NA,NA
159,"300000","  6.0","225000","-11.250","Medium steep","Medium low","Low","All consumer groups","Mortality and foraging",NA,NA
160,"300000","  3.0","225000","-11.250","Steep","Medium low","Low","All consumer groups","Mortality and foraging",NA,NA
